Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2429736-3,Baaritekijät Oy,,,2011-09-26,http://avoindata.prh.fi/opendata/tr/v1/2429736-3,OY
2425723-0,MM-Kapakka Oy,,,2011-09-06,http://avoindata.prh.fi/opendata/tr/v1/2425723-0,OY
2422641-8,Pubiaika Oy,,,2011-08-23,http://avoindata.prh.fi/opendata/tr/v1/2422641-8,OY
2446566-2,Alabaari Oy,,,2011-12-16,http://avoindata.prh.fi/opendata/tr/v1/2446566-2,OY
2414203-8,Tiili Krouvi Oy,,,2011-06-23,http://avoindata.prh.fi/opendata/tr/v1/2414203-8,OY
2399344-7,Citybaari Helsinki Oy,,,2011-04-08,http://avoindata.prh.fi/opendata/tr/v1/2399344-7,OY
2394510-3,Mäntän Klubi Oy,,,2011-03-10,http://avoindata.prh.fi/opendata/tr/v1/2394510-3,OY
2459153-8,R8 Roadhouse Ab,,,2012-02-17,http://avoindata.prh.fi/opendata/tr/v1/2459153-8,OY
2500158-7,Speakeasy Original Wings Cellar Oy,,,2012-10-05,http://avoindata.prh.fi/opendata/tr/v1/2500158-7,OY
2502668-8,OKU PUBLISHING Oy,,,2012-10-30,http://avoindata.prh.fi/opendata/tr/v1/2502668-8,OY
2505405-6,Duf-Pub Oy,,,2012-10-29,http://avoindata.prh.fi/opendata/tr/v1/2505405-6,OY
2491738-2,JA OLUTRAVINTOLAT OY,,,2012-08-20,http://avoindata.prh.fi/opendata/tr/v1/2491738-2,OY
2478872-8,Kylän HaliBaari Oy,,,2012-06-06,http://avoindata.prh.fi/opendata/tr/v1/2478872-8,OY
2471841-2,Pub 66 Oy,,,2012-04-18,http://avoindata.prh.fi/opendata/tr/v1/2471841-2,OY
2458843-5,Kiinteistö Oy Virkkalan Klubitalo,,,2012-03-23,http://avoindata.prh.fi/opendata/tr/v1/2458843-5,OY
2466695-8,CC-Klubi Oy,,,2012-03-16,http://avoindata.prh.fi/opendata/tr/v1/2466695-8,OY
2479341-2,Eikan Pub Oy,,,2012-05-29,http://avoindata.prh.fi/opendata/tr/v1/2479341-2,OY
2526991-1,Pub Olkkari Oy,,,2013-02-18,http://avoindata.prh.fi/opendata/tr/v1/2526991-1,OY
2568729-1,Hartolan Puoti & Baari Oy,,,2013-09-24,http://avoindata.prh.fi/opendata/tr/v1/2568729-1,OY
2581761-5,Cozy Publishing Oy,,,2013-11-08,http://avoindata.prh.fi/opendata/tr/v1/2581761-5,OY
2590289-5,Spoon Publishing Oy,,,2013-12-17,http://avoindata.prh.fi/opendata/tr/v1/2590289-5,OY
2584339-7,Kaiho Republic Oy,,,2013-11-27,http://avoindata.prh.fi/opendata/tr/v1/2584339-7,OY
2564836-4,Jäätelöbaari Jädelino Oy,,,2013-08-28,http://avoindata.prh.fi/opendata/tr/v1/2564836-4,OY
2557644-4,Hanki Baari Oy,,,2013-08-26,http://avoindata.prh.fi/opendata/tr/v1/2557644-4,OY
2559104-6,Rud Pedersen Public Affairs Company Oy,,,2013-07-17,http://avoindata.prh.fi/opendata/tr/v1/2559104-6,OY
2553881-9,Print&Media Publishing Oy,,,2013-06-28,http://avoindata.prh.fi/opendata/tr/v1/2553881-9,OY
2541239-4,Helsingin Nightclub Tähti Oy,,,2013-04-29,http://avoindata.prh.fi/opendata/tr/v1/2541239-4,OY
2538807-2,Jankas Pub & Fast Food Ab Oy,,,2013-03-27,http://avoindata.prh.fi/opendata/tr/v1/2538807-2,OY
2520477-1,Asunto Oy Kauniaisten Krouvikallio,,,2013-01-24,http://avoindata.prh.fi/opendata/tr/v1/2520477-1,AOY
2520281-3,Publin Oy,,,2013-01-16,http://avoindata.prh.fi/opendata/tr/v1/2520281-3,OY
2550252-5,TV PUB OY,,,2013-06-07,http://avoindata.prh.fi/opendata/tr/v1/2550252-5,OY
2608555-9,TI-klubi Oy,,,2014-03-12,http://avoindata.prh.fi/opendata/tr/v1/2608555-9,OY
2603973-9,Saloonius Oy,,,2014-02-25,http://avoindata.prh.fi/opendata/tr/v1/2603973-9,OY
2644783-9,Khaos Publishing Oy,,,2014-10-06,http://avoindata.prh.fi/opendata/tr/v1/2644783-9,OY
